Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"matrixMulKernel(matrix, matrix, matrix)",1795548266,253996018,2039,8,1,1,64,1,21,0,0,,
"Memcpy DtoH [sync]",2049595197,1439962,,,,,,,,,,4151404,2882995523
"Memcpy HtoD [sync]",2053203422,443784,,,,,,,,,,2078756,4684161664
"Memcpy HtoD [sync]",2053993708,2668561,,,,,,,,,,8327276,3120511766
"matrixMulKernel(matrix, matrix, matrix)",2058373020,33257881,34,43,1,60,12,1,21,0,0,,
"Memcpy DtoH [sync]",2091677942,1723167,,,,,,,,,,4151404,2409171020
"Memcpy HtoD [sync]",2095228726,674316,,,,,,,,,,2078756,3082762384
"Memcpy HtoD [sync]",2096422284,3591201,,,,,,,,,,8327276,2318799755
"matrixMulKernel(matrix, matrix, matrix)",2100245201,52402004,292,30,1,7,17,1,21,0,0,,
"Memcpy DtoH [sync]",2152775783,1958724,,,,,,,,,,4151404,2119443065
"Memcpy HtoD [sync]",2156522347,694636,,,,,,,,,,2078756,2992583165
"Memcpy HtoD [sync]",2157651551,3540352,,,,,,,,,,8327276,2352103971
"matrixMulKernel(matrix, matrix, matrix)",2161414083,43256463,170,37,1,12,14,1,21,0,0,,
"Memcpy DtoH [sync]",2204716883,1856129,,,,,,,,,,4151404,2236592392
"Memcpy HtoD [sync]",2208796316,577419,,,,,,,,,,2078756,3600082435
"Memcpy HtoD [sync]",2209827663,3688995,,,,,,,,,,8327276,2257329164
"matrixMulKernel(matrix, matrix, matrix)",2213733910,33485277,53,23,1,39,23,1,21,0,0,,
"Memcpy DtoH [sync]",2247275796,1931043,,,,,,,,,,4151404,2149824732
"Memcpy HtoD [sync]",2251055641,695340,,,,,,,,,,2078756,2989553312
"Memcpy HtoD [sync]",2252205422,2910836,,,,,,,,,,8327276,2860785011
"matrixMulKernel(matrix, matrix, matrix)",2255987570,36912892,146,22,1,14,24,1,21,0,0,,
"Memcpy DtoH [sync]",2292955919,1921954,,,,,,,,,,4151404,2159991342
"Memcpy HtoD [sync]",2297144858,660556,,,,,,,,,,2078756,3146979211
"Memcpy HtoD [sync]",2298253358,3737988,,,,,,,,,,8327276,2227742839
"matrixMulKernel(matrix, matrix, matrix)",2302207414,34309740,40,85,1,51,6,1,21,0,0,,
"Memcpy DtoH [sync]",2336562371,1937027,,,,,,,,,,4151404,2143183342
"Memcpy HtoD [sync]",2340408137,512873,,,,,,,,,,2078756,4053159359
"Memcpy HtoD [sync]",2341370394,2648560,,,,,,,,,,8327276,3144076781
"matrixMulKernel(matrix, matrix, matrix)",2344431442,70079635,408,15,1,5,36,1,21,0,0,,
"Memcpy DtoH [sync]",2414563174,1834721,,,,,,,,,,4151404,2262689531
"Memcpy HtoD [sync]",2418056037,572331,,,,,,,,,,2078756,3632087026
"Memcpy HtoD [sync]",2419249659,3359069,,,,,,,,,,8327276,2479042853
"matrixMulKernel(matrix, matrix, matrix)",2422818587,32817618,50,22,1,41,24,1,21,0,0,,
"Memcpy DtoH [sync]",2456263160,1315224,,,,,,,,,,4151404,3156423544
"Memcpy HtoD [sync]",2459811065,503913,,,,,,,,,,2078756,4125227965
