Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",8644306787,98801492,64,43,1,32,12,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",8745716049,102030269,64,32,1,32,16,1,21,0,0,136.009,0.77,82.002
"matrixMulKernel(matrix, matrix, matrix)",8850334409,98196549,64,19,1,32,27,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",8951127559,98749239,64,102,1,32,5,1,21,0,0,136.009,0.936,82.002
"matrixMulKernel(matrix, matrix, matrix)",9052453848,102081404,64,32,1,32,16,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",9157175469,98138727,64,51,1,32,10,1,21,0,0,136.009,0.499,82.002
"matrixMulKernel(matrix, matrix, matrix)",9257922765,93291722,64,30,1,32,17,1,21,0,0,136.009,0.77,82.002
"matrixMulKernel(matrix, matrix, matrix)",9353799217,94915581,64,22,1,32,24,1,21,0,0,136.009,0.919,82.002
"matrixMulKernel(matrix, matrix, matrix)",9451440965,99665981,64,17,1,32,30,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",9553718012,102253207,64,18,1,32,29,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",9658623948,94752482,64,22,1,32,24,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",9755978631,99930935,64,27,1,32,19,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",9858522807,92483999,64,40,1,32,13,1,21,0,0,136.009,0.931,82.002
"matrixMulKernel(matrix, matrix, matrix)",9953589329,98012522,64,51,1,32,10,1,21,0,0,136.009,0.932,82.002
"matrixMulKernel(matrix, matrix, matrix)",10054177109,97982475,64,57,1,32,9,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",10154737178,101823843,64,18,1,32,29,1,21,0,0,136.009,0.827,82.002
"matrixMulKernel(matrix, matrix, matrix)",10259126857,97603785,64,64,1,32,8,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",10359322411,98778601,64,102,1,32,5,1,21,0,0,136.009,0.926,82.002
"matrixMulKernel(matrix, matrix, matrix)",10460936391,98511152,64,43,1,32,12,1,21,0,0,136.009,0.739,82.002
"matrixMulKernel(matrix, matrix, matrix)",10562194220,99599443,64,17,1,32,30,1,21,0,0,136.009,0.958,82.002
"matrixMulKernel(matrix, matrix, matrix)",10664495925,100164195,64,18,1,32,29,1,21,0,0,136.009,0.948,82.002
"matrixMulKernel(matrix, matrix, matrix)",10767291729,99975528,64,27,1,32,19,1,21,0,0,136.009,0.878,82.002
"matrixMulKernel(matrix, matrix, matrix)",10869891186,103768897,64,25,1,32,21,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",10976250445,228798625,64,509,1,32,1,1,21,0,0,136.009,0.932,82.002
"matrixMulKernel(matrix, matrix, matrix)",11207671719,105128221,64,17,1,32,31,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",11315377182,97921183,64,24,1,32,22,1,21,0,0,136.009,0.936,82.002
"matrixMulKernel(matrix, matrix, matrix)",11415912855,99048737,64,34,1,32,15,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",11517526514,96378218,64,47,1,32,11,1,21,0,0,136.009,0.739,82.002
