dimension, 2039, 2039
Result (x y micro-second), 16, 19, 9020
Result (x y micro-second), 10, 40, 9922
Result (x y micro-second), 61, 13, 9127
Result (x y micro-second), 34, 4, 8993
Result (x y micro-second), 22, 33, 9583
Result (x y micro-second), 41, 2, 9091
Result (x y micro-second), 28, 24, 9066
Result (x y micro-second), 2, 20, 15200
Result (x y micro-second), 27, 9, 8956
Result (x y micro-second), 1, 61, 17417
Result (x y micro-second), 58, 15, 9130
Result (x y micro-second), 12, 47, 9601
Result (x y micro-second), 7, 21, 9742
Result (x y micro-second), 22, 3, 9394
Result (x y micro-second), 6, 55, 10288
Result (x y micro-second), 5, 31, 10216
Result (x y micro-second), 14, 6, 9213
Result (x y micro-second), 14, 51, 10116
Result (x y micro-second), 25, 21, 9302
Result (x y micro-second), 24, 18, 9155
Result (x y micro-second), 7, 46, 10232
Result (x y micro-second), 37, 13, 9000
Result (x y micro-second), 3, 58, 11560
Result (x y micro-second), 16, 36, 9269
Result (x y micro-second), 26, 9, 9000
Result (x y micro-second), 3, 17, 11960
Result (x y micro-second), 60, 7, 9047
Result (x y micro-second), 47, 9, 9117
Result (x y micro-second), 13, 32, 9758
Result (x y micro-second), 18, 19, 9275
Result (x y micro-second), 17, 43, 9964
Result (x y micro-second), 60, 9, 9102
Result (x y micro-second), 30, 2, 9395
Result (x y micro-second), 55, 2, 8881
Result (x y micro-second), 15, 57, 9629
Result (x y micro-second), 5, 47, 10228
Result (x y micro-second), 55, 7, 9152
Result (x y micro-second), 18, 38, 9971
Result (x y micro-second), 14, 31, 9484
Result (x y micro-second), 23, 9, 8983
Result (x y micro-second), 11, 29, 9392
Result (x y micro-second), 21, 48, 9371
Result (x y micro-second), 36, 14, 8983
Result (x y micro-second), 15, 14, 9161
Result (x y micro-second), 36, 19, 9470
Result (x y micro-second), 6, 4, 12044
Result (x y micro-second), 34, 23, 9264
Result (x y micro-second), 16, 24, 9087
Result (x y micro-second), 3, 64, 11240
Result (x y micro-second), 35, 17, 9141
Result (x y micro-second), 14, 12, 9206
Result (x y micro-second), 12, 15, 9233
Result (x y micro-second), 11, 63, 10334
Result (x y micro-second), 38, 2, 9244
Result (x y micro-second), 5, 43, 10201
Result (x y micro-second), 25, 3, 9250
Result (x y micro-second), 26, 13, 9158
Result (x y micro-second), 17, 28, 9271
Result (x y micro-second), 12, 51, 9414
Result (x y micro-second), 18, 10, 9068
Result (x y micro-second), 8, 33, 9480
Result (x y micro-second), 21, 45, 9331
Result (x y micro-second), 35, 17, 9065
Result (x y micro-second), 60, 4, 8909
Result (x y micro-second), 6, 34, 9943
Result (x y micro-second), 46, 11, 8946
Result (x y micro-second), 4, 32, 10371
Result (x y micro-second), 63, 11, 9301
Result (x y micro-second), 14, 44, 9371
Result (x y micro-second), 22, 8, 9136
Result (x y micro-second), 10, 3, 11033
Result (x y micro-second), 18, 4, 9461
Result (x y micro-second), 60, 15, 9100
Result (x y micro-second), 40, 14, 9156
Result (x y micro-second), 9, 35, 9582
Result (x y micro-second), 48, 13, 8962
Result (x y micro-second), 2, 46, 12468
Result (x y micro-second), 23, 1, 11469
Result (x y micro-second), 1, 14, 19653
Result (x y micro-second), 6, 34, 9902
Result (x y micro-second), 22, 42, 9377
Result (x y micro-second), 22, 43, 9324
Result (x y micro-second), 45, 3, 8929
Result (x y micro-second), 17, 10, 9135
Result (x y micro-second), 46, 19, 9163
Result (x y micro-second), 10, 16, 9414
Result (x y micro-second), 24, 13, 8983
Result (x y micro-second), 23, 40, 9305
Result (x y micro-second), 26, 4, 9024
Result (x y micro-second), 5, 33, 10496
Result (x y micro-second), 20, 49, 9313
Result (x y micro-second), 5, 57, 10229
Result (x y micro-second), 29, 23, 9074
Result (x y micro-second), 52, 10, 9203
Result (x y micro-second), 25, 30, 9472
Result (x y micro-second), 51, 10, 8941
Result (x y micro-second), 24, 11, 9043
Result (x y micro-second), 55, 12, 8971
Result (x y micro-second), 55, 14, 9203
Result (x y micro-second), 51, 16, 9161
Result (x y micro-second), 17, 29, 9183
Result (x y micro-second), 11, 60, 9548
Result (x y micro-second), 23, 15, 9313
Result (x y micro-second), 34, 28, 9216
Result (x y micro-second), 61, 4, 8890
Result (x y micro-second), 7, 20, 9800
Result (x y micro-second), 14, 28, 9769
Result (x y micro-second), 16, 5, 9153
Result (x y micro-second), 40, 6, 8878
Result (x y micro-second), 18, 26, 9249
Result (x y micro-second), 21, 34, 9747
Result (x y micro-second), 29, 12, 9128
Result (x y micro-second), 23, 22, 9055
Result (x y micro-second), 7, 13, 9696
Result (x y micro-second), 59, 13, 9122
Result (x y micro-second), 10, 11, 9390
Result (x y micro-second), 17, 49, 9522
Result (x y micro-second), 16, 34, 9413
Result (x y micro-second), 11, 37, 9859
Result (x y micro-second), 3, 64, 11237
Result (x y micro-second), 3, 31, 11198
Result (x y micro-second), 12, 48, 9642
Result (x y micro-second), 22, 34, 9645
Result (x y micro-second), 13, 36, 9463
Result (x y micro-second), 11, 57, 9549
Result (x y micro-second), 35, 5, 8978
Result (x y micro-second), 5, 45, 10298
Result (x y micro-second), 15, 21, 9222
Result (x y micro-second), 29, 31, 9228
Result (x y micro-second), 3, 56, 11673
Result (x y micro-second), 39, 5, 8940
Result (x y micro-second), 49, 16, 9148
Result (x y micro-second), 23, 6, 9046
Result (x y micro-second), 49, 15, 9285
Result (x y micro-second), 5, 62, 10320
Result (x y micro-second), 1, 15, 19490
Result (x y micro-second), 17, 29, 9198
Result (x y micro-second), 45, 6, 8976
Result (x y micro-second), 4, 47, 10461
Result (x y micro-second), 51, 19, 9190
Result (x y micro-second), 62, 11, 9440
Result (x y micro-second), 17, 39, 9236
Result (x y micro-second), 34, 21, 9465
Result (x y micro-second), 36, 19, 9462
Result (x y micro-second), 20, 21, 9327
Result (x y micro-second), 14, 11, 9237
Result (x y micro-second), 41, 13, 9217
Result (x y micro-second), 6, 41, 9927
Result (x y micro-second), 27, 22, 9168
Result (x y micro-second), 6, 7, 10942
Result (x y micro-second), 28, 9, 8923
Result (x y micro-second), 43, 12, 9213
Result (x y micro-second), 14, 40, 9506
Result (x y micro-second), 22, 4, 9087
Result (x y micro-second), 59, 13, 9200
Result (x y micro-second), 46, 14, 9092
Result (x y micro-second), 24, 10, 9033
Result (x y micro-second), 8, 29, 9445
Result (x y micro-second), 41, 14, 9210
Result (x y micro-second), 4, 16, 10550
Result (x y micro-second), 56, 17, 9054
Result (x y micro-second), 14, 48, 9357
Result (x y micro-second), 10, 59, 9711
Result (x y micro-second), 27, 6, 9063
Result (x y micro-second), 35, 21, 9300
Result (x y micro-second), 9, 38, 9872
Result (x y micro-second), 36, 4, 8985
Result (x y micro-second), 20, 11, 8974
Result (x y micro-second), 13, 9, 9202
Result (x y micro-second), 8, 26, 9448
Result (x y micro-second), 57, 17, 9105
Result (x y micro-second), 59, 9, 9151
Result (x y micro-second), 9, 45, 10188
Result (x y micro-second), 5, 57, 10244
Result (x y micro-second), 17, 35, 9313
Result (x y micro-second), 40, 10, 9181
Result (x y micro-second), 5, 10, 10701
Result (x y micro-second), 30, 13, 9306
Result (x y micro-second), 48, 1, 9743
Result (x y micro-second), 16, 38, 9283
Result (x y micro-second), 28, 35, 9188
Result (x y micro-second), 1, 36, 23934
Result (x y micro-second), 9, 20, 9496
Result (x y micro-second), 24, 3, 9246
Result (x y micro-second), 29, 32, 9280
Result (x y micro-second), 3, 50, 11234
Result (x y micro-second), 25, 11, 8971
Result (x y micro-second), 9, 52, 9788
Result (x y micro-second), 27, 24, 9124
Result (x y micro-second), 46, 19, 9184
Result (x y micro-second), 58, 10, 9095
Result (x y micro-second), 43, 10, 9096
Result (x y micro-second), 64, 11, 9236
Result (x y micro-second), 13, 58, 9880
Result (x y micro-second), 4, 53, 10412
Result (x y micro-second), 8, 29, 9527
Result (x y micro-second), 12, 3, 10628
Result (x y micro-second), 21, 14, 9134
Result (x y micro-second), 3, 6, 14155
Result (x y micro-second), 15, 29, 9496
Result (x y micro-second), 26, 10, 8996
Result (x y micro-second), 58, 11, 9042
Result (x y micro-second), 27, 7, 8913
Result (x y micro-second), 26, 8, 8987
Result (x y micro-second), 36, 4, 8931
Result (x y micro-second), 4, 64, 10475
Result (x y micro-second), 44, 11, 9091
Result (x y micro-second), 21, 5, 9404
Result (x y micro-second), 20, 2, 10234
Result (x y micro-second), 53, 18, 9138
Result (x y micro-second), 29, 20, 9177
Result (x y micro-second), 20, 12, 9044
Result (x y micro-second), 18, 22, 9499
Result (x y micro-second), 54, 10, 9172
Result (x y micro-second), 14, 25, 9430
Result (x y micro-second), 15, 10, 9228
Result (x y micro-second), 15, 19, 9201
Result (x y micro-second), 9, 11, 9500
Result (x y micro-second), 11, 53, 9669
