dimension, 1021, 4093
Result (x y micro-second), 9, 13, 9628
Result (x y micro-second), 44, 20, 9437
Result (x y micro-second), 14, 1, 13918
Result (x y micro-second), 32, 14, 9082
Result (x y micro-second), 9, 40, 10003
Result (x y micro-second), 19, 15, 9221
Result (x y micro-second), 51, 7, 9177
Result (x y micro-second), 61, 1, 9475
Result (x y micro-second), 15, 57, 9693
Result (x y micro-second), 19, 23, 9490
Result (x y micro-second), 5, 62, 10508
Result (x y micro-second), 42, 18, 9464
Result (x y micro-second), 62, 10, 9175
Result (x y micro-second), 31, 32, 9331
Result (x y micro-second), 7, 15, 9928
Result (x y micro-second), 17, 42, 10160
Result (x y micro-second), 1, 46, 20672
Result (x y micro-second), 46, 7, 9281
Result (x y micro-second), 17, 50, 9694
Result (x y micro-second), 4, 59, 10612
Result (x y micro-second), 3, 2, 22477
Result (x y micro-second), 4, 33, 10577
Result (x y micro-second), 7, 40, 10245
Result (x y micro-second), 9, 23, 9735
Result (x y micro-second), 19, 18, 9490
Result (x y micro-second), 44, 14, 9251
Result (x y micro-second), 50, 20, 9274
Result (x y micro-second), 33, 31, 9394
Result (x y micro-second), 16, 30, 9326
Result (x y micro-second), 44, 18, 9426
Result (x y micro-second), 15, 55, 9796
Result (x y micro-second), 8, 26, 9689
Result (x y micro-second), 1, 40, 22593
Result (x y micro-second), 14, 25, 9640
Result (x y micro-second), 56, 12, 9116
Result (x y micro-second), 31, 7, 9038
Result (x y micro-second), 41, 10, 9468
Result (x y micro-second), 25, 7, 9365
Result (x y micro-second), 56, 10, 9366
Result (x y micro-second), 6, 32, 10182
Result (x y micro-second), 2, 43, 12644
Result (x y micro-second), 16, 16, 9105
Result (x y micro-second), 24, 30, 9638
Result (x y micro-second), 19, 24, 9574
Result (x y micro-second), 5, 58, 10589
Result (x y micro-second), 55, 18, 9340
Result (x y micro-second), 18, 41, 9936
Result (x y micro-second), 63, 9, 9198
Result (x y micro-second), 16, 29, 9348
Result (x y micro-second), 19, 14, 9294
Result (x y micro-second), 1, 52, 19337
Result (x y micro-second), 11, 49, 10284
Result (x y micro-second), 27, 34, 9524
Result (x y micro-second), 14, 45, 9668
Result (x y micro-second), 25, 33, 9488
Result (x y micro-second), 64, 13, 9135
Result (x y micro-second), 62, 15, 9325
Result (x y micro-second), 54, 12, 9121
Result (x y micro-second), 3, 39, 11432
Result (x y micro-second), 24, 7, 9229
Result (x y micro-second), 13, 25, 9717
Result (x y micro-second), 9, 20, 9650
Result (x y micro-second), 1, 50, 19818
Result (x y micro-second), 34, 9, 9158
Result (x y micro-second), 6, 39, 10133
Result (x y micro-second), 11, 33, 9711
Result (x y micro-second), 58, 13, 9344
Result (x y micro-second), 7, 45, 10078
Result (x y micro-second), 12, 30, 9598
Result (x y micro-second), 1, 2, 50962
Result (x y micro-second), 16, 8, 9118
Result (x y micro-second), 38, 26, 9345
Result (x y micro-second), 12, 49, 9674
Result (x y micro-second), 12, 62, 10137
Result (x y micro-second), 9, 1, 17199
Result (x y micro-second), 32, 17, 9190
Result (x y micro-second), 10, 12, 9637
Result (x y micro-second), 51, 10, 9116
Result (x y micro-second), 13, 38, 9544
Result (x y micro-second), 30, 2, 9613
Result (x y micro-second), 50, 3, 9011
Result (x y micro-second), 27, 25, 9758
Result (x y micro-second), 7, 45, 9993
Result (x y micro-second), 49, 18, 9427
Result (x y micro-second), 18, 19, 9446
Result (x y micro-second), 49, 16, 9342
Result (x y micro-second), 59, 16, 9260
Result (x y micro-second), 8, 42, 10023
Result (x y micro-second), 39, 21, 9410
Result (x y micro-second), 62, 2, 8984
Result (x y micro-second), 1, 51, 19400
Result (x y micro-second), 11, 49, 10163
Result (x y micro-second), 4, 53, 10601
Result (x y micro-second), 42, 22, 9340
Result (x y micro-second), 7, 26, 9984
Result (x y micro-second), 37, 2, 9350
Result (x y micro-second), 41, 5, 9145
Result (x y micro-second), 46, 16, 9695
Result (x y micro-second), 10, 7, 9852
Result (x y micro-second), 6, 45, 10141
Result (x y micro-second), 2, 44, 12685
Result (x y micro-second), 1, 63, 17302
Result (x y micro-second), 28, 7, 9141
Result (x y micro-second), 32, 29, 9181
Result (x y micro-second), 36, 8, 9031
Result (x y micro-second), 33, 6, 9166
Result (x y micro-second), 55, 15, 9294
Result (x y micro-second), 22, 31, 10010
Result (x y micro-second), 11, 38, 9859
Result (x y micro-second), 31, 11, 9274
Result (x y micro-second), 37, 12, 9280
Result (x y micro-second), 55, 2, 9006
Result (x y micro-second), 41, 22, 9336
Result (x y micro-second), 57, 5, 9033
Result (x y micro-second), 12, 10, 9355
Result (x y micro-second), 4, 45, 10748
Result (x y micro-second), 15, 58, 9715
Result (x y micro-second), 2, 61, 12635
Result (x y micro-second), 28, 12, 9295
Result (x y micro-second), 22, 7, 9285
Result (x y micro-second), 5, 13, 10528
Result (x y micro-second), 8, 61, 9873
Result (x y micro-second), 19, 26, 9321
Result (x y micro-second), 10, 26, 9631
Result (x y micro-second), 42, 21, 9356
Result (x y micro-second), 1, 50, 19743
Result (x y micro-second), 35, 23, 9473
Result (x y micro-second), 34, 29, 9340
Result (x y micro-second), 4, 42, 10849
Result (x y micro-second), 26, 11, 9121
Result (x y micro-second), 63, 13, 9329
Result (x y micro-second), 57, 8, 9164
Result (x y micro-second), 28, 9, 9082
Result (x y micro-second), 15, 29, 9646
Result (x y micro-second), 23, 15, 9379
Result (x y micro-second), 55, 6, 9205
Result (x y micro-second), 10, 46, 9937
Result (x y micro-second), 22, 34, 9860
Result (x y micro-second), 5, 5, 12370
Result (x y micro-second), 42, 19, 9363
Result (x y micro-second), 7, 56, 10848
Result (x y micro-second), 21, 23, 9352
Result (x y micro-second), 29, 10, 9193
Result (x y micro-second), 29, 24, 9746
Result (x y micro-second), 45, 6, 9125
Result (x y micro-second), 10, 33, 9929
Result (x y micro-second), 4, 43, 10820
Result (x y micro-second), 4, 10, 12043
Result (x y micro-second), 3, 18, 11998
Result (x y micro-second), 9, 40, 9927
Result (x y micro-second), 22, 12, 9231
Result (x y micro-second), 9, 15, 9663
Result (x y micro-second), 9, 58, 10475
Result (x y micro-second), 17, 28, 9511
Result (x y micro-second), 42, 9, 9167
Result (x y micro-second), 13, 52, 10799
Result (x y micro-second), 41, 16, 9311
Result (x y micro-second), 32, 27, 9187
Result (x y micro-second), 16, 40, 9312
Result (x y micro-second), 2, 7, 16457
Result (x y micro-second), 10, 23, 9603
Result (x y micro-second), 19, 2, 10570
Result (x y micro-second), 6, 27, 10316
Result (x y micro-second), 17, 35, 9552
Result (x y micro-second), 2, 25, 13907
Result (x y micro-second), 13, 39, 9547
Result (x y micro-second), 26, 29, 9667
Result (x y micro-second), 9, 64, 10352
Result (x y micro-second), 27, 4, 9144
Result (x y micro-second), 15, 28, 9656
Result (x y micro-second), 11, 24, 9582
Result (x y micro-second), 2, 53, 12651
Result (x y micro-second), 37, 21, 9435
Result (x y micro-second), 13, 63, 9938
Result (x y micro-second), 33, 13, 9296
Result (x y micro-second), 6, 27, 10292
Result (x y micro-second), 19, 30, 9555
Result (x y micro-second), 18, 10, 9214
Result (x y micro-second), 7, 43, 10001
Result (x y micro-second), 1, 8, 23534
Result (x y micro-second), 6, 64, 10181
Result (x y micro-second), 20, 41, 9559
Result (x y micro-second), 40, 5, 9108
Result (x y micro-second), 28, 29, 9476
Result (x y micro-second), 62, 15, 9304
Result (x y micro-second), 6, 30, 10191
Result (x y micro-second), 12, 3, 10871
Result (x y micro-second), 41, 17, 9619
Result (x y micro-second), 4, 53, 10693
Result (x y micro-second), 24, 5, 9068
Result (x y micro-second), 45, 1, 9992
Result (x y micro-second), 54, 10, 9305
Result (x y micro-second), 42, 9, 9135
Result (x y micro-second), 50, 18, 9336
Result (x y micro-second), 14, 14, 9444
Result (x y micro-second), 46, 11, 9129
Result (x y micro-second), 57, 12, 9538
Result (x y micro-second), 5, 21, 10405
Result (x y micro-second), 7, 51, 10179
Result (x y micro-second), 3, 10, 12658
Result (x y micro-second), 39, 26, 9395
Result (x y micro-second), 14, 34, 9576
Result (x y micro-second), 16, 59, 9486
Result (x y micro-second), 34, 5, 9140
Result (x y micro-second), 4, 11, 11642
Result (x y micro-second), 14, 53, 10333
Result (x y micro-second), 28, 27, 9491
Result (x y micro-second), 2, 9, 15265
Result (x y micro-second), 59, 13, 9320
Result (x y micro-second), 19, 31, 9527
Result (x y micro-second), 1, 11, 20851
Result (x y micro-second), 42, 5, 9100
Result (x y micro-second), 59, 7, 9288
Result (x y micro-second), 62, 10, 9192
Result (x y micro-second), 1, 31, 18579
Result (x y micro-second), 15, 4, 9733
Result (x y micro-second), 57, 5, 9010
Result (x y micro-second), 13, 26, 9716
Result (x y micro-second), 23, 8, 9154
Result (x y micro-second), 51, 15, 9366
Result (x y micro-second), 43, 17, 9825
Result (x y micro-second), 24, 3, 9440
Result (x y micro-second), 2, 64, 12664
Result (x y micro-second), 4, 19, 10674
Result (x y micro-second), 52, 17, 9293
Result (x y micro-second), 45, 10, 9272
Result (x y micro-second), 24, 19, 9275
Result (x y micro-second), 11, 35, 10093
Result (x y micro-second), 52, 9, 9138
Result (x y micro-second), 3, 37, 11366
Result (x y micro-second), 16, 62, 9406
Result (x y micro-second), 56, 5, 9029
Result (x y micro-second), 60, 15, 9283
