Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",17629618133,204858617,292,16,1,7,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",17837170333,166603764,255,16,1,8,32,1,21,0,0,91.859,0.875,38.825
"matrixMulKernel(matrix, matrix, matrix)",18006430049,134480667,82,16,1,25,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",18143580684,119827553,85,16,1,24,32,1,21,0,0,121.389,0.874,68.728
"matrixMulKernel(matrix, matrix, matrix)",18266062110,135663372,71,16,1,29,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",18404627179,997551776,2039,16,1,1,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",19404968691,997612733,2039,16,1,1,32,1,21,0,0,120.698,0.929,69.545
"matrixMulKernel(matrix, matrix, matrix)",20405305852,474035264,1020,16,1,2,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",20882078407,250455034,408,16,1,5,32,1,21,0,0,130.949,0.69,66.085
"matrixMulKernel(matrix, matrix, matrix)",21135197553,140146341,114,16,1,18,32,1,21,0,0,163.736,0.988,69.494
"matrixMulKernel(matrix, matrix, matrix)",21277995143,126527495,93,16,1,22,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",21407197221,135292404,89,16,1,23,32,1,21,0,0,63.538,0.702,28.738
"matrixMulKernel(matrix, matrix, matrix)",21545133323,166552106,255,16,1,8,32,1,21,0,0,118.361,0.941,69.653
"matrixMulKernel(matrix, matrix, matrix)",21714325959,119739060,85,16,1,24,32,1,21,0,0,137.357,0.786,61.818
"matrixMulKernel(matrix, matrix, matrix)",21836688878,474159597,1020,16,1,2,32,1,21,0,0,120.698,0.93,69.545
"matrixMulKernel(matrix, matrix, matrix)",22313631524,135697562,66,16,1,31,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",22452000046,180621868,227,16,1,9,32,1,21,0,0,136.009,0.947,53.347
"matrixMulKernel(matrix, matrix, matrix)",22635243821,135290964,89,16,1,23,32,1,21,0,0,111.123,0.895,45.668
"matrixMulKernel(matrix, matrix, matrix)",22773240527,154296177,157,16,1,13,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",22930188338,135267221,89,16,1,23,32,1,21,0,0,111.123,0.897,45.668
"matrixMulKernel(matrix, matrix, matrix)",23068161109,154612477,157,16,1,13,32,1,21,0,0,85.288,0.917,36.377
"matrixMulKernel(matrix, matrix, matrix)",23225416739,140147509,114,16,1,18,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",23368194027,165892373,186,16,1,11,32,1,21,0,0,139.927,0.914,57.132
"matrixMulKernel(matrix, matrix, matrix)",23536740626,149783450,146,16,1,14,32,1,21,0,0,137.355,0.91,59.822
"matrixMulKernel(matrix, matrix, matrix)",23689246841,148519341,136,16,1,15,32,1,21,0,0,137.357,0.785,61.818
"matrixMulKernel(matrix, matrix, matrix)",23840493714,140481279,108,16,1,19,32,1,21,0,0,124.74,0.8,67.957
"matrixMulKernel(matrix, matrix, matrix)",23983853971,204720793,292,16,1,7,32,1,21,0,0,163.736,0.987,69.494
"matrixMulKernel(matrix, matrix, matrix)",24191457263,474147213,1020,16,1,2,32,1,21,0,0,120.698,0.928,69.545
"matrixMulKernel(matrix, matrix, matrix)",24668241039,149644003,146,16,1,14,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",24820514245,120291568,128,16,1,16,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",24943430760,134430381,82,16,1,25,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",25080494152,148609703,136,16,1,15,32,1,21,0,0,133.356,0.677,65.86
"matrixMulKernel(matrix, matrix, matrix)",25231857146,270418995,510,16,1,4,32,1,21,0,0,91.859,0.859,38.825
"matrixMulKernel(matrix, matrix, matrix)",25505234411,180557039,227,16,1,9,32,1,21,0,0,46.704,0.495,22.222
"matrixMulKernel(matrix, matrix, matrix)",25688481961,154357037,157,16,1,13,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",25845515782,142257290,120,16,1,17,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",25990450272,135689050,71,16,1,29,32,1,21,0,0,138.473,0.922,65.586
"matrixMulKernel(matrix, matrix, matrix)",26128799882,134352115,102,16,1,20,32,1,21,0,0,121.389,0.88,68.728
"matrixMulKernel(matrix, matrix, matrix)",26265856043,165857815,186,16,1,11,32,1,21,0,0,135.622,0.87,63.385
"matrixMulKernel(matrix, matrix, matrix)",26434466455,132812714,68,16,1,30,32,1,21,0,0,123.798,0.91,50.658
"matrixMulKernel(matrix, matrix, matrix)",26570016494,997606203,2039,16,1,1,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",27570416754,149621722,146,16,1,14,32,1,21,0,0,130.371,0.886,53.314
"matrixMulKernel(matrix, matrix, matrix)",27722839860,140494514,108,16,1,19,32,1,21,0,0,130.371,0.886,53.314
"matrixMulKernel(matrix, matrix, matrix)",27866024981,102685382,64,16,1,32,32,1,21,0,0,111.123,0.893,45.668
"matrixMulKernel(matrix, matrix, matrix)",27971356813,134184848,82,16,1,25,32,1,21,0,0,138.368,0.841,59.199
"matrixMulKernel(matrix, matrix, matrix)",28108173488,169723634,204,16,1,10,32,1,21,0,0,138.368,0.841,59.199
"matrixMulKernel(matrix, matrix, matrix)",28280741575,134367236,82,16,1,25,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",28417760957,134382788,82,16,1,25,32,1,21,0,0,136.009,0.942,53.347
"matrixMulKernel(matrix, matrix, matrix)",28554886028,180393941,227,16,1,9,32,1,21,0,0,63.538,0.7,28.738
"matrixMulKernel(matrix, matrix, matrix)",28738034220,149600956,146,16,1,14,32,1,21,0,0,127.922,0.753,67.049
"matrixMulKernel(matrix, matrix, matrix)",28890299481,135249354,71,16,1,29,32,1,21,0,0,133.356,0.677,65.86
"matrixMulKernel(matrix, matrix, matrix)",29028288847,142284060,120,16,1,17,32,1,21,0,0,136.009,0.935,53.347
"matrixMulKernel(matrix, matrix, matrix)",29173234684,142308507,120,16,1,17,32,1,21,0,0,163.736,0.987,69.494
"matrixMulKernel(matrix, matrix, matrix)",29318217863,136234826,71,16,1,29,32,1,21,0,0,111.123,0.898,45.668
"matrixMulKernel(matrix, matrix, matrix)",29457098371,148536066,136,16,1,15,32,1,21,0,0,127.922,0.759,67.049
"matrixMulKernel(matrix, matrix, matrix)",29608267160,152946624,170,16,1,12,32,1,21,0,0,136.122,0.745,68.579
"matrixMulKernel(matrix, matrix, matrix)",29763883528,154524088,157,16,1,13,32,1,21,0,0,131.347,0.84,54.424
"matrixMulKernel(matrix, matrix, matrix)",29921106671,132811211,68,16,1,30,32,1,21,0,0,91.859,0.872,38.825
"matrixMulKernel(matrix, matrix, matrix)",30056573835,131934500,79,16,1,26,32,1,21,0,0,138.368,0.842,59.199
"matrixMulKernel(matrix, matrix, matrix)",30191361940,154905983,157,16,1,13,32,1,21,0,0,135.622,0.871,63.385
"matrixMulKernel(matrix, matrix, matrix)",30348930244,135554134,71,16,1,29,32,1,21,0,0,46.704,0.496,22.222
"matrixMulKernel(matrix, matrix, matrix)",30487125389,218889459,340,16,1,6,32,1,21,0,0,136.009,0.99,82.002
