Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",4667912634,496756,,,,,,,,,,4169764,8393988195
"Memcpy HtoD [sync]",4668518155,509203,,,,,,,,,,4169764,8188804857
"matrixMulKernel(matrix, matrix, matrix)",4669046206,259381878,205,45,1,5,23,1,21,0,0,,
"Memcpy DtoH [sync]",4928448596,543826,,,,,,,,,,4169764,7667459812
"Memcpy HtoD [sync]",4929641302,509139,,,,,,,,,,4169764,8189834210
"Memcpy HtoD [sync]",4930260743,510579,,,,,,,,,,4169764,8166736195
"matrixMulKernel(matrix, matrix, matrix)",4930786490,138287684,45,47,1,23,22,1,21,0,0,,
"Memcpy DtoH [sync]",5069094942,550770,,,,,,,,,,4169764,7570789984
"Memcpy HtoD [sync]",5070309663,492052,,,,,,,,,,4169764,8474234430
"Memcpy HtoD [sync]",5070909584,496724,,,,,,,,,,4169764,8394528953
"matrixMulKernel(matrix, matrix, matrix)",5071426180,385336206,341,54,1,3,19,1,21,0,0,,
"Memcpy DtoH [sync]",5456783602,544018,,,,,,,,,,4169764,7664753739
"Memcpy HtoD [sync]",5457933320,495536,,,,,,,,,,4169764,8414654031
"Memcpy HtoD [sync]",5458537268,497040,,,,,,,,,,4169764,8389192016
"matrixMulKernel(matrix, matrix, matrix)",5459049732,107710408,64,24,1,16,44,1,21,0,0,,
"Memcpy DtoH [sync]",5566781963,543471,,,,,,,,,,4169764,7672468264
"Memcpy HtoD [sync]",5567970949,494032,,,,,,,,,,4169764,8440271075
"Memcpy HtoD [sync]",5568572977,504336,,,,,,,,,,4169764,8267829383
"matrixMulKernel(matrix, matrix, matrix)",5569095488,155286874,86,24,1,12,44,1,21,0,0,,
"Memcpy DtoH [sync]",5724404281,543022,,,,,,,,,,4169764,7678812276
"Memcpy HtoD [sync]",5725597010,497296,,,,,,,,,,4169764,8384873395
"Memcpy HtoD [sync]",5726201470,495408,,,,,,,,,,4169764,8416828149
"matrixMulKernel(matrix, matrix, matrix)",5726711790,194595544,114,57,1,9,18,1,21,0,0,,
"Memcpy DtoH [sync]",5921327269,544302,,,,,,,,,,4169764,7660754507
"Memcpy HtoD [sync]",5922501695,487472,,,,,,,,,,4169764,8553853349
"Memcpy HtoD [sync]",5923092684,470032,,,,,,,,,,4169764,8871234298
"matrixMulKernel(matrix, matrix, matrix)",5923574620,108981247,16,511,1,64,2,1,21,0,0,,
"Memcpy DtoH [sync]",6032575322,547886,,,,,,,,,,4169764,7610641629
"Memcpy HtoD [sync]",6033764724,484272,,,,,,,,,,4169764,8610375987
"Memcpy HtoD [sync]",6034351136,465809,,,,,,,,,,4169764,8951660444
"matrixMulKernel(matrix, matrix, matrix)",6034827505,167896670,93,19,1,11,54,1,21,0,0,,
"Memcpy DtoH [sync]",6202745263,541486,,,,,,,,,,4169764,7700594290
"Memcpy HtoD [sync]",6203889865,479217,,,,,,,,,,4169764,8701202169
"Memcpy HtoD [sync]",6204471222,469681,,,,,,,,,,4169764,8877863911
"matrixMulKernel(matrix, matrix, matrix)",6204954151,129156941,18,103,1,60,10,1,21,0,0,,
"Memcpy DtoH [sync]",6334131411,549134,,,,,,,,,,4169764,7593345158
"Memcpy HtoD [sync]",6335319725,479056,,,,,,,,,,4169764,8704126448
"Memcpy HtoD [sync]",6335901274,471728,,,,,,,,,,4169764,8839339619
"matrixMulKernel(matrix, matrix, matrix)",6336385546,152111937,73,54,1,14,19,1,21,0,0,,
"Memcpy DtoH [sync]",6488538794,558829,,,,,,,,,,4169764,7461609902
"Memcpy HtoD [sync]",6489824864,558861,,,,,,,,,,4169764,7461182655
"Memcpy HtoD [sync]",6490504969,538575,,,,,,,,,,4169764,7742216033
"matrixMulKernel(matrix, matrix, matrix)",6491082871,132838773,33,61,1,31,17,1,21,0,0,,
"Memcpy DtoH [sync]",6623947851,549806,,,,,,,,,,4169764,7584064197
"Memcpy HtoD [sync]",6625185187,514127,,,,,,,,,,4169764,8110377397
"Memcpy HtoD [sync]",6625812910,514512,,,,,,,,,,4169764,8104308548
"matrixMulKernel(matrix, matrix, matrix)",6626361436,133444898,28,73,1,37,14,1,21,0,0,,
"Memcpy DtoH [sync]",6759828957,545711,,,,,,,,,,4169764,7640974801
"Memcpy HtoD [sync]",6761016663,494383,,,,,,,,,,4169764,8434278686
"Memcpy HtoD [sync]",6761626819,497839,,,,,,,,,,4169764,8375727895
"matrixMulKernel(matrix, matrix, matrix)",6762143474,567352896,511,38,1,2,27,1,21,0,0,,
"Memcpy DtoH [sync]",7329522641,545134,,,,,,,,,,4169764,7649062432
"Memcpy HtoD [sync]",7330750153,510927,,,,,,,,,,4169764,8161173709
"Memcpy HtoD [sync]",7331372373,508335,,,,,,,,,,4169764,8202787531
"matrixMulKernel(matrix, matrix, matrix)",7331902051,879265416,511,61,1,2,17,1,21,0,0,,
"Memcpy DtoH [sync]",8211192074,545326,,,,,,,,,,4169764,7646369327
"Memcpy HtoD [sync]",8212393283,501967,,,,,,,,,,4169764,8306848856
"Memcpy HtoD [sync]",8213013039,500975,,,,,,,,,,4169764,8323297569
"matrixMulKernel(matrix, matrix, matrix)",8213532894,226187890,171,19,1,6,54,1,21,0,0,,
"Memcpy DtoH [sync]",8439741967,545070,,,,,,,,,,4169764,7649960555
"Memcpy HtoD [sync]",8440937608,490384,,,,,,,,,,4169764,8503058827
"Memcpy HtoD [sync]",8441534677,496911,,,,,,,,,,4169764,8391369883
"matrixMulKernel(matrix, matrix, matrix)",8442081539,360551413,341,32,1,3,32,1,21,0,0,,
"Memcpy DtoH [sync]",8802654168,543854,,,,,,,,,,4169764,7667065057
"Memcpy HtoD [sync]",8803835153,489712,,,,,,,,,,4169764,8514727023
"Memcpy HtoD [sync]",8804431166,492592,,,,,,,,,,4169764,8464944619
"matrixMulKernel(matrix, matrix, matrix)",8804943277,133457377,28,73,1,37,14,1,21,0,0,,
"Memcpy DtoH [sync]",8938420718,544302,,,,,,,,,,4169764,7660754507
"Memcpy HtoD [sync]",8939611559,482928,,,,,,,,,,4169764,8634338866
"Memcpy HtoD [sync]",8940198708,486128,,,,,,,,,,4169764,8577502221
"matrixMulKernel(matrix, matrix, matrix)",8940709859,168814433,93,31,1,11,33,1,21,0,0,,
"Memcpy DtoH [sync]",9109545859,541838,,,,,,,,,,4169764,7695591671
"Memcpy HtoD [sync]",9110716125,479440,,,,,,,,,,4169764,8697155014
"Memcpy HtoD [sync]",9111298442,479344,,,,,,,,,,4169764,8698896825
"matrixMulKernel(matrix, matrix, matrix)",9111792570,123747229,28,54,1,37,19,1,21,0,0,,
"Memcpy DtoH [sync]",9235560791,548270,,,,,,,,,,4169764,7605311251
"Memcpy HtoD [sync]",9236754448,486128,,,,,,,,,,4169764,8577502221
"Memcpy HtoD [sync]",9237353404,485872,,,,,,,,,,4169764,8582021602
"matrixMulKernel(matrix, matrix, matrix)",9237852844,135403426,21,114,1,51,9,1,21,0,0,,
"Memcpy DtoH [sync]",9373277197,544398,,,,,,,,,,4169764,7659403598
"Memcpy HtoD [sync]",9374459559,478896,,,,,,,,,,4169764,8707034512
"Memcpy HtoD [sync]",9375042100,479536,,,,,,,,,,4169764,8695413900
"matrixMulKernel(matrix, matrix, matrix)",9375536355,169835168,128,21,1,8,50,1,21,0,0,,
"Memcpy DtoH [sync]",9545396322,545262,,,,,,,,,,4169764,7647266818
"Memcpy HtoD [sync]",9546603835,499311,,,,,,,,,,4169764,8351035727
"Memcpy HtoD [sync]",9547213255,499439,,,,,,,,,,4169764,8348895460
"matrixMulKernel(matrix, matrix, matrix)",9547727766,174556549,103,18,1,10,58,1,21,0,0,,
