dimension, 998, 701
Result (x y micro-second), 512, 1, 2136
Result (x y micro-second), 16, 512, 1920
Result (x y micro-second), 128, 512, 1772
Result (x y micro-second), 16, 16, 2123
Result (x y micro-second), 1, 4, 5607
Result (x y micro-second), 256, 16, 1572
Result (x y micro-second), 512, 64, 1726
Result (x y micro-second), 4, 4, 3071
Result (x y micro-second), 512, 4, 1714
Result (x y micro-second), 32, 2, 2159
Result (x y micro-second), 128, 128, 1696
Result (x y micro-second), 128, 2, 2029
Result (x y micro-second), 8, 32, 2152
Result (x y micro-second), 512, 4, 1620
Result (x y micro-second), 16, 8, 2500
Result (x y micro-second), 2, 32, 3045
Result (x y micro-second), 8, 32, 2306
Result (x y micro-second), 16, 4, 2174
Result (x y micro-second), 64, 256, 1468
Result (x y micro-second), 512, 256, 1490
Result (x y micro-second), 8, 128, 2410
Result (x y micro-second), 4, 16, 2559
Result (x y micro-second), 32, 64, 1752
Result (x y micro-second), 256, 16, 1531
Result (x y micro-second), 1, 8, 4299
Result (x y micro-second), 128, 256, 1495
Result (x y micro-second), 4, 64, 2468
Result (x y micro-second), 2, 256, 2887
Result (x y micro-second), 8, 4, 2616
Result (x y micro-second), 1, 256, 3422
Result (x y micro-second), 32, 8, 2033
Result (x y micro-second), 32, 1, 2321
Result (x y micro-second), 1, 1, 14211
Result (x y micro-second), 4, 128, 2717
Result (x y micro-second), 1, 8, 4787
Result (x y micro-second), 32, 32, 2270
Result (x y micro-second), 1, 1, 14093
Result (x y micro-second), 512, 64, 1849
Result (x y micro-second), 256, 128, 1583
Result (x y micro-second), 4, 512, 1535
Result (x y micro-second), 8, 4, 2465
Result (x y micro-second), 512, 128, 1910
Result (x y micro-second), 1, 1, 14525
Result (x y micro-second), 32, 16, 2358
Result (x y micro-second), 16, 256, 1571
Result (x y micro-second), 16, 512, 1494
Result (x y micro-second), 8, 512, 1493
Result (x y micro-second), 2, 16, 2823
Result (x y micro-second), 512, 32, 1516
Result (x y micro-second), 8, 4, 2471
Result (x y micro-second), 512, 1, 2687
Result (x y micro-second), 128, 2, 2278
Result (x y micro-second), 4, 512, 1493
Result (x y micro-second), 128, 2, 2059
Result (x y micro-second), 256, 4, 2091
Result (x y micro-second), 4, 8, 2529
Result (x y micro-second), 64, 2, 2400
Result (x y micro-second), 2, 64, 3012
Result (x y micro-second), 8, 64, 2221
Result (x y micro-second), 1, 512, 3428
Result (x y micro-second), 64, 16, 1996
Result (x y micro-second), 1, 1, 14175
Result (x y micro-second), 16, 2, 2685
Result (x y micro-second), 16, 32, 2353
Result (x y micro-second), 256, 128, 1757
Result (x y micro-second), 512, 128, 1531
Result (x y micro-second), 512, 128, 1508
Result (x y micro-second), 2, 4, 3775
Result (x y micro-second), 256, 1, 2004
Result (x y micro-second), 32, 64, 1647
Result (x y micro-second), 4, 512, 1764
Result (x y micro-second), 1, 256, 3704
Result (x y micro-second), 1, 8, 4359
Result (x y micro-second), 128, 32, 1532
Result (x y micro-second), 512, 128, 1525
Result (x y micro-second), 16, 64, 2199
Result (x y micro-second), 16, 64, 2315
Result (x y micro-second), 64, 256, 1739
Result (x y micro-second), 128, 4, 2093
Result (x y micro-second), 32, 32, 2213
Result (x y micro-second), 2, 32, 3075
Result (x y micro-second), 32, 1, 2519
Result (x y micro-second), 16, 64, 2568
Result (x y micro-second), 16, 4, 2397
Result (x y micro-second), 64, 2, 2048
Result (x y micro-second), 1, 2, 8504
Result (x y micro-second), 1, 4, 6046
Result (x y micro-second), 2, 4, 4012
Result (x y micro-second), 32, 256, 1606
Result (x y micro-second), 512, 128, 1544
Result (x y micro-second), 256, 32, 1848
Result (x y micro-second), 32, 4, 2398
Result (x y micro-second), 2, 8, 3334
Result (x y micro-second), 4, 256, 2485
Result (x y micro-second), 32, 128, 1529
Result (x y micro-second), 64, 256, 1475
Result (x y micro-second), 16, 8, 2094
Result (x y micro-second), 1, 256, 3718
Result (x y micro-second), 512, 32, 1750
Result (x y micro-second), 4, 128, 2372
Result (x y micro-second), 256, 32, 1474
Result (x y micro-second), 1, 512, 3478
Result (x y micro-second), 512, 4, 1678
Result (x y micro-second), 2, 32, 2807
Result (x y micro-second), 1, 2, 8343
Result (x y micro-second), 16, 1, 2428
Result (x y micro-second), 64, 512, 1543
Result (x y micro-second), 4, 256, 2472
Result (x y micro-second), 4, 16, 2218
Result (x y micro-second), 256, 512, 1583
Result (x y micro-second), 16, 64, 1830
Result (x y micro-second), 128, 1, 1664
Result (x y micro-second), 512, 512, 1505
Result (x y micro-second), 2, 1, 7719
Result (x y micro-second), 64, 8, 2040
Result (x y micro-second), 1, 32, 3338
Result (x y micro-second), 1, 1, 13821
Result (x y micro-second), 64, 1, 2060
Result (x y micro-second), 4, 128, 2169
Result (x y micro-second), 128, 32, 1807
Result (x y micro-second), 1, 2, 8474
Result (x y micro-second), 32, 512, 1787
Result (x y micro-second), 1, 1, 13825
Result (x y micro-second), 512, 16, 1872
Result (x y micro-second), 64, 512, 1701
Result (x y micro-second), 32, 1, 2295
Result (x y micro-second), 64, 16, 2215
Result (x y micro-second), 2, 128, 2451
Result (x y micro-second), 8, 4, 2028
Result (x y micro-second), 256, 1, 1691
Result (x y micro-second), 128, 256, 1476
Result (x y micro-second), 128, 1, 1681
Result (x y micro-second), 1, 8, 4172
Result (x y micro-second), 1, 32, 3623
Result (x y micro-second), 4, 128, 2144
Result (x y micro-second), 4, 32, 2000
Result (x y micro-second), 1, 512, 3070
Result (x y micro-second), 64, 1, 1946
Result (x y micro-second), 512, 32, 1754
Result (x y micro-second), 64, 64, 1831
Result (x y micro-second), 64, 2, 1762
Result (x y micro-second), 256, 16, 1499
Result (x y micro-second), 32, 2, 1755
Result (x y micro-second), 4, 256, 2048
Result (x y micro-second), 32, 4, 1746
Result (x y micro-second), 1, 32, 3419
Result (x y micro-second), 4, 128, 2513
Result (x y micro-second), 32, 4, 1856
Result (x y micro-second), 1, 128, 3069
Result (x y micro-second), 128, 32, 1482
Result (x y micro-second), 64, 512, 1486
Result (x y micro-second), 1, 64, 3220
Result (x y micro-second), 2, 64, 2603
Result (x y micro-second), 256, 1, 2019
Result (x y micro-second), 8, 16, 1914
Result (x y micro-second), 256, 512, 1527
Result (x y micro-second), 128, 128, 1524
Result (x y micro-second), 16, 4, 1807
Result (x y micro-second), 1, 256, 3172
Result (x y micro-second), 4, 64, 2419
Result (x y micro-second), 1, 32, 3529
Result (x y micro-second), 2, 4, 3475
Result (x y micro-second), 4, 64, 2065
Result (x y micro-second), 16, 32, 1802
Result (x y micro-second), 8, 16, 1988
Result (x y micro-second), 1, 2, 8297
Result (x y micro-second), 32, 1, 2202
Result (x y micro-second), 128, 64, 1532
Result (x y micro-second), 256, 32, 1623
Result (x y micro-second), 512, 2, 2260
Result (x y micro-second), 2, 128, 2899
Result (x y micro-second), 1, 256, 3216
Result (x y micro-second), 64, 64, 1510
Result (x y micro-second), 4, 128, 1994
Result (x y micro-second), 16, 64, 1753
Result (x y micro-second), 32, 16, 1760
Result (x y micro-second), 2, 64, 2792
Result (x y micro-second), 64, 16, 1998
Result (x y micro-second), 16, 8, 1757
Result (x y micro-second), 2, 512, 2448
Result (x y micro-second), 512, 2, 1928
Result (x y micro-second), 1, 16, 3460
Result (x y micro-second), 8, 128, 2225
Result (x y micro-second), 8, 2, 2862
Result (x y micro-second), 16, 4, 1905
Result (x y micro-second), 4, 128, 2004
Result (x y micro-second), 2, 16, 2484
Result (x y micro-second), 32, 256, 1482
Result (x y micro-second), 2, 512, 2579
Result (x y micro-second), 128, 32, 1808
Result (x y micro-second), 32, 4, 2158
Result (x y micro-second), 1, 128, 3168
Result (x y micro-second), 1, 256, 3031
Result (x y micro-second), 8, 16, 1785
Result (x y micro-second), 8, 16, 1781
Result (x y micro-second), 8, 4, 2087
Result (x y micro-second), 32, 8, 1970
Result (x y micro-second), 512, 1, 2054
Result (x y micro-second), 4, 4, 2534
Result (x y micro-second), 2, 256, 2418
Result (x y micro-second), 64, 32, 1475
Result (x y micro-second), 32, 128, 1500
Result (x y micro-second), 512, 4, 1548
Result (x y micro-second), 128, 1, 1908
Result (x y micro-second), 2, 64, 2731
Result (x y micro-second), 256, 256, 1613
Result (x y micro-second), 1, 1, 13821
Result (x y micro-second), 32, 1, 2267
Result (x y micro-second), 256, 256, 1514
Result (x y micro-second), 16, 16, 1722
Result (x y micro-second), 4, 512, 1467
Result (x y micro-second), 64, 512, 1487
Result (x y micro-second), 16, 32, 2063
Result (x y micro-second), 512, 256, 1900
Result (x y micro-second), 512, 4, 1819
Result (x y micro-second), 64, 128, 1538
Result (x y micro-second), 128, 8, 1718
Result (x y micro-second), 128, 512, 1472
Result (x y micro-second), 32, 64, 1471
Result (x y micro-second), 512, 256, 1465
Result (x y micro-second), 8, 512, 1519
Result (x y micro-second), 512, 8, 1643
Result (x y micro-second), 512, 16, 1720
Result (x y micro-second), 64, 1, 2058
Result (x y micro-second), 32, 4, 1756
Result (x y micro-second), 16, 512, 1474
Result (x y micro-second), 4, 1, 4596
Result (x y micro-second), 2, 256, 2383
Result (x y micro-second), 256, 4, 2086
Result (x y micro-second), 128, 512, 1960
Result (x y micro-second), 32, 32, 1888
Result (x y micro-second), 128, 16, 1495
Result (x y micro-second), 512, 16, 1479
Result (x y micro-second), 8, 64, 1817
Result (x y micro-second), 1, 32, 3272
Result (x y micro-second), 128, 32, 1706
Result (x y micro-second), 16, 64, 2168
Result (x y micro-second), 2, 64, 2631
Result (x y micro-second), 4, 128, 2097
Result (x y micro-second), 64, 512, 1460
Result (x y micro-second), 512, 1, 1725
Result (x y micro-second), 512, 8, 1482
Result (x y micro-second), 1, 4, 5497
Result (x y micro-second), 4, 1, 4928
Result (x y micro-second), 16, 512, 1542
Result (x y micro-second), 1, 2, 8137
Result (x y micro-second), 16, 128, 1843
Result (x y micro-second), 256, 8, 1561
Result (x y micro-second), 2, 8, 2741
Result (x y micro-second), 4, 8, 2161
Result (x y micro-second), 256, 512, 1493
Result (x y micro-second), 512, 32, 1534
Result (x y micro-second), 128, 1, 1978
Result (x y micro-second), 2, 512, 2899
Result (x y micro-second), 512, 128, 1672
Result (x y micro-second), 512, 256, 1504
Result (x y micro-second), 128, 1, 1662
Result (x y micro-second), 4, 512, 1462
Result (x y micro-second), 4, 64, 2013
Result (x y micro-second), 1, 256, 3103
Result (x y micro-second), 32, 1, 2227
Result (x y micro-second), 4, 2, 3469
Result (x y micro-second), 512, 1, 1748
Result (x y micro-second), 128, 4, 1686
Result (x y micro-second), 8, 512, 1478
Result (x y micro-second), 32, 16, 1668
Result (x y micro-second), 1, 64, 3157
Result (x y micro-second), 512, 128, 1962
Result (x y micro-second), 256, 4, 1849
Result (x y micro-second), 64, 128, 1486
Result (x y micro-second), 512, 128, 1474
Result (x y micro-second), 256, 256, 1586
Result (x y micro-second), 512, 4, 1471
Result (x y micro-second), 128, 8, 1693
Result (x y micro-second), 256, 128, 1670
Result (x y micro-second), 4, 32, 2414
Result (x y micro-second), 512, 64, 1757
Result (x y micro-second), 64, 256, 1574
Result (x y micro-second), 64, 8, 1690
Result (x y micro-second), 1, 2, 8094
Result (x y micro-second), 16, 256, 1960
Result (x y micro-second), 32, 16, 1961
Result (x y micro-second), 64, 64, 1509
Result (x y micro-second), 2, 32, 2306
Result (x y micro-second), 256, 1, 1671
Result (x y micro-second), 16, 128, 1476
Result (x y micro-second), 128, 4, 1673
Result (x y micro-second), 128, 128, 1666
Result (x y micro-second), 64, 32, 1682
Result (x y micro-second), 1, 64, 3535
Result (x y micro-second), 16, 16, 1783
Result (x y micro-second), 2, 64, 2268
Result (x y micro-second), 1, 1, 13907
Result (x y micro-second), 64, 256, 1799
Result (x y micro-second), 32, 512, 1597
Result (x y micro-second), 1, 1, 13855
Result (x y micro-second), 128, 32, 1779
Result (x y micro-second), 16, 8, 1810
Result (x y micro-second), 4, 64, 2226
Result (x y micro-second), 1, 4, 5727
Result (x y micro-second), 256, 32, 1702
Result (x y micro-second), 4, 32, 1996
Result (x y micro-second), 512, 512, 1496
Result (x y micro-second), 16, 256, 1499
Result (x y micro-second), 64, 128, 1726
Result (x y micro-second), 16, 8, 2041
Result (x y micro-second), 8, 256, 1821
Result (x y micro-second), 512, 64, 1577
Result (x y micro-second), 1, 32, 3262
Result (x y micro-second), 16, 32, 1757
Result (x y micro-second), 64, 16, 1732
Result (x y micro-second), 32, 8, 1684
Result (x y micro-second), 4, 1, 4892
Result (x y micro-second), 512, 64, 1849
Result (x y micro-second), 256, 2, 1842
Result (x y micro-second), 1, 64, 3089
Result (x y micro-second), 256, 4, 1724
Result (x y micro-second), 8, 1, 3176
Result (x y micro-second), 4, 1, 5125
Result (x y micro-second), 256, 1, 1908
Result (x y micro-second), 128, 16, 1522
Result (x y micro-second), 8, 1, 3116
Result (x y micro-second), 16, 4, 1809
Result (x y micro-second), 256, 16, 1696
Result (x y micro-second), 1, 8, 4428
Result (x y micro-second), 1, 64, 3219
Result (x y micro-second), 512, 32, 1505
Result (x y micro-second), 4, 8, 2184
Result (x y micro-second), 128, 8, 1724
Result (x y micro-second), 2, 128, 2675
Result (x y micro-second), 64, 4, 1987
Result (x y micro-second), 32, 32, 1782
Result (x y micro-second), 16, 512, 1527
Result (x y micro-second), 32, 256, 1466
Result (x y micro-second), 512, 32, 1458
Result (x y micro-second), 512, 256, 1511
Result (x y micro-second), 2, 4, 3491
Result (x y micro-second), 1, 64, 3319
Result (x y micro-second), 128, 512, 1749
Result (x y micro-second), 1, 128, 3078
Result (x y micro-second), 4, 1, 4614
Result (x y micro-second), 32, 8, 1843
Result (x y micro-second), 256, 512, 1927
Result (x y micro-second), 128, 128, 1737
Result (x y micro-second), 16, 1, 2372
Result (x y micro-second), 32, 2, 1725
Result (x y micro-second), 4, 1, 4656
Result (x y micro-second), 256, 128, 1539
Result (x y micro-second), 2, 32, 2861
Result (x y micro-second), 128, 4, 1977
Result (x y micro-second), 1, 64, 3159
Result (x y micro-second), 1, 2, 8111
Result (x y micro-second), 512, 2, 2270
Result (x y micro-second), 128, 64, 1698
Result (x y micro-second), 1, 1, 13823
Result (x y micro-second), 32, 16, 2018
Result (x y micro-second), 1, 4, 5333
Result (x y micro-second), 512, 1, 1802
Result (x y micro-second), 16, 256, 1682
Result (x y micro-second), 256, 256, 1781
Result (x y micro-second), 512, 32, 1797
Result (x y micro-second), 512, 8, 1565
Result (x y micro-second), 32, 512, 1504
Result (x y micro-second), 1, 512, 3037
Result (x y micro-second), 16, 1, 2305
Result (x y micro-second), 2, 16, 2772
Result (x y micro-second), 64, 4, 2023
Result (x y micro-second), 256, 32, 1779
